shift_id,start1,end1,start2,end2,shift_time,shift_minute,shift_type,shift_type_id,t_0000,t_0030,t_0100,t_0130,t_0200,t_0230,t_0300,t_0330,t_0400,t_0430,t_0500,t_0530,t_0600,t_0630,t_0700,t_0730,t_0800,t_0830,t_0900,t_0930,t_1000,t_1030,t_1100,t_1130,t_1200,t_1230,t_1300,t_1330,t_1400,t_1430,t_1500,t_1530,t_1600,t_1630,t_1700,t_1730,t_1800,t_1830,t_1900,t_1930,t_2000,t_2030,t_2100,t_2130,t_2200,t_2230,t_2300,t_2330
0,8:00,11:30,12:30,17:00,08:00-11:30 12:30-17:00,480,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
1,8:00,11:30,13:00,17:30,08:00-11:30 13:00-17:30,480,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
2,8:00,12:00,13:00,17:00,08:00-12:00 13:00-17:00,480,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
3,8:00,12:00,13:00,17:30,08:00-12:00 13:00-17:30,510,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
4,8:00,12:00,13:30,17:30,08:00-12:00 13:30-17:30,480,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
5,8:00,12:00,13:30,18:00,08:00-12:00 13:30-18:00,510,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
6,8:00,12:30,13:30,17:00,08:00-12:30 13:30-17:00,480,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,
7,8:00,12:30,13:30,17:30,08:00-12:30 13:30-17:30,510,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
8,8:00,12:30,14:00,17:30,08:00-12:30 14:00-17:30,480,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,
9,8:00,12:30,14:00,18:00,08:00-12:30 14:00-18:00,510,晨班,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,
10,8:30,12:00,13:00,17:30,08:30-12:00 13:00-17:30,480,晨班,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
11,8:30,12:30,13:30,17:30,08:30-12:30 13:30-17:30,480,晨班,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
12,8:30,12:30,13:30,18:00,08:30-12:30 13:30-18:00,510,晨班,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
13,8:30,12:30,14:00,18:00,08:30-12:30 14:00-18:00,480,晨班,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,
14,8:30,12:00,13:30,18:00,08:30-12:00 13:30-18:00,480,晨班,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
15,7:00,11:00,12:00,15:00,07:00-11:00 12:00-15:00,420,早班,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
16,7:00,11:00,12:00,15:30,07:00-11:00 12:00-15:30,450,早班,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
17,7:00,11:00,12:00,16:00,07:00-11:00 12:00-16:00,480,早班,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
18,7:00,11:00,12:30,15:30,07:00-11:00 12:30-15:30,420,早班,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
19,7:00,11:00,12:30,16:00,07:00-11:00 12:30-16:00,450,早班,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
20,7:30,11:00,12:00,15:30,07:30-11:00 12:00-15:30,420,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
21,7:30,11:00,12:00,16:00,07:30-11:00 12:00-16:00,450,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
22,7:30,11:00,12:30,16:00,07:30-11:00 12:30-16:00,420,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
23,7:30,11:00,12:30,16:30,07:30-11:00 12:30-16:30,450,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
24,7:30,11:30,12:30,15:30,07:30-11:30 12:30-15:30,420,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
25,7:30,11:30,12:30,16:00,07:30-11:30 12:30-16:00,450,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
26,7:30,11:30,12:30,16:30,07:30-11:30 12:30-16:30,480,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
27,7:30,11:30,13:00,16:00,07:30-11:30 13:00-16:00,420,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
28,7:30,11:30,13:00,16:30,07:30-11:30 13:00-16:30,450,早班,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
29,9:00,13:00,16:30,21:30,09:00-13:00 16:30-21:30,540,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,
30,9:00,13:00,17:00,21:30,09:00-13:00 17:00-21:30,510,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
31,9:00,13:00,17:30,22:00,09:00-13:00 17:30-22:00,510,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,
32,9:00,13:00,17:30,22:30,09:00-13:00 17:30-22:30,540,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,
33,9:00,13:00,18:00,22:00,09:00-13:00 18:00-22:00,480,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,
34,9:00,13:00,18:00,22:30,09:00-13:00 18:00-22:30,510,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,
35,9:00,13:30,17:00,21:30,09:00-13:30 17:00-21:30,540,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
36,9:00,13:30,17:30,21:30,09:00-13:30 17:30-21:30,510,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,
37,9:00,13:30,17:30,22:00,09:00-13:30 17:30-22:00,540,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,
38,9:00,13:30,18:00,22:00,09:00-13:30 18:00-22:00,510,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,,,,
39,9:00,13:30,18:00,22:30,09:00-13:30 18:00-22:30,540,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,
40,9:00,13:30,18:30,22:00,09:00-13:30 18:30-22:00,480,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,,,,
41,9:00,13:30,18:30,22:30,09:00-13:30 18:30-22:30,510,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,,
42,9:00,13:30,18:30,23:00,09:00-13:30 18:30-23:00,540,跳班,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,
43,9:30,13:00,17:30,22:00,09:30-13:00 17:30-22:00,480,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,
44,9:30,13:00,18:00,22:30,09:30-13:00 18:00-22:30,480,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,
45,9:30,13:30,17:00,21:30,09:30-13:30 17:00-21:30,510,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
46,9:30,13:30,17:30,22:00,09:30-13:30 17:30-22:00,510,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,
47,9:30,13:30,18:00,22:00,09:30-13:30 18:00-22:00,480,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,,,,
48,9:30,13:30,18:00,22:30,09:30-13:30 18:00-22:30,510,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,
49,9:30,13:30,18:30,22:30,09:30-13:30 18:30-22:30,480,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,,
50,9:30,13:30,18:30,23:00,09:30-13:30 18:30-23:00,510,跳班,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,
51,13:30,17:00,18:00,22:30,13:30-17:00 18:00-22:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,
52,13:30,17:00,18:00,23:00,13:30-17:00 18:00-23:00,510,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,
53,13:30,17:00,18:30,23:00,13:30-17:00 18:30-23:00,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,
54,13:30,17:00,19:00,23:30,13:30-17:00 19:00-23:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,
55,13:30,17:30,18:30,22:30,13:30-17:30 18:30-22:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,
56,13:30,17:30,18:30,23:00,13:30-17:30 18:30-23:00,510,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,
57,13:30,17:30,19:00,23:00,13:30-17:30 19:00-23:00,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,
58,13:30,17:30,19:00,23:30,13:30-17:30 19:00-23:30,510,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,
59,13:30,17:30,19:30,23:30,13:30-17:30 19:30-23:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,
