date,time_pt,demand,cover,difference
2019/08/26,00:00,0,0.0,0.0
2019/08/26,00:30,0,0.0,0.0
2019/08/26,01:00,0,0.0,0.0
2019/08/26,01:30,0,0.0,0.0
2019/08/26,02:00,0,0.0,0.0
2019/08/26,02:30,0,0.0,0.0
2019/08/26,03:00,0,0.0,0.0
2019/08/26,03:30,0,0.0,0.0
2019/08/26,04:00,0,0.0,0.0
2019/08/26,04:30,0,0.0,0.0
2019/08/26,05:00,0,0.0,0.0
2019/08/26,05:30,0,0.0,0.0
2019/08/26,06:00,0,0.0,0.0
2019/08/26,06:30,0,0.0,0.0
2019/08/26,07:00,20,20.0,0.0
2019/08/26,07:30,42,43.0,1.0
2019/08/26,08:00,76,76.0,0.0
2019/08/26,08:30,116,124.0,8.0
2019/08/26,09:00,160,164.0,4.0
2019/08/26,09:30,174,186.0,12.0
2019/08/26,10:00,180,186.0,6.0
2019/08/26,10:30,175,186.0,11.0
2019/08/26,11:00,166,166.0,0.0
2019/08/26,11:30,145,148.0,3.0
2019/08/26,12:00,114,126.0,12.0
2019/08/26,12:30,99,110.0,11.0
2019/08/26,13:00,98,100.0,2.0
2019/08/26,13:30,112,118.0,6.0
2019/08/26,14:00,131,157.0,26.0
2019/08/26,14:30,142,187.0,45.0
2019/08/26,15:00,144,180.0,36.0
2019/08/26,15:30,144,157.0,13.0
2019/08/26,16:00,140,152.0,12.0
2019/08/26,16:30,129,141.0,12.0
2019/08/26,17:00,116,117.0,1.0
2019/08/26,17:30,103,106.0,3.0
2019/08/26,18:00,92,92.0,0.0
2019/08/26,18:30,77,78.0,1.0
2019/08/26,19:00,50,55.0,5.0
2019/08/26,19:30,44,52.0,8.0
2019/08/26,20:00,36,52.0,16.0
2019/08/26,20:30,36,47.0,11.0
2019/08/26,21:00,38,47.0,9.0
2019/08/26,21:30,32,37.0,5.0
2019/08/26,22:00,28,37.0,9.0
2019/08/26,22:30,21,26.0,5.0
2019/08/26,23:00,15,17.0,2.0
2019/08/26,23:30,0,0.0,0.0
2019/08/27,00:00,0,0.0,0.0
2019/08/27,00:30,0,0.0,0.0
2019/08/27,01:00,0,0.0,0.0
2019/08/27,01:30,0,0.0,0.0
2019/08/27,02:00,0,0.0,0.0
2019/08/27,02:30,0,0.0,0.0
2019/08/27,03:00,0,0.0,0.0
2019/08/27,03:30,0,0.0,0.0
2019/08/27,04:00,0,0.0,0.0
2019/08/27,04:30,0,0.0,0.0
2019/08/27,05:00,0,0.0,0.0
2019/08/27,05:30,0,0.0,0.0
2019/08/27,06:00,0,0.0,0.0
2019/08/27,06:30,0,0.0,0.0
2019/08/27,07:00,25,25.0,0.0
2019/08/27,07:30,44,51.0,7.0
2019/08/27,08:00,74,83.0,9.0
2019/08/27,08:30,112,112.0,0.0
2019/08/27,09:00,148,151.0,3.0
2019/08/27,09:30,160,193.0,33.0
2019/08/27,10:00,169,193.0,24.0
2019/08/27,10:30,162,193.0,31.0
2019/08/27,11:00,149,168.0,19.0
2019/08/27,11:30,139,142.0,3.0
2019/08/27,12:00,106,135.0,29.0
2019/08/27,12:30,88,117.0,29.0
2019/08/27,13:00,88,96.0,8.0
2019/08/27,13:30,99,101.0,2.0
2019/08/27,14:00,121,130.0,9.0
2019/08/27,14:30,133,148.0,15.0
2019/08/27,15:00,137,160.0,23.0
2019/08/27,15:30,138,149.0,11.0
2019/08/27,16:00,125,134.0,9.0
2019/08/27,16:30,122,134.0,12.0
2019/08/27,17:00,107,110.0,3.0
2019/08/27,17:30,95,95.0,0.0
2019/08/27,18:00,87,88.0,1.0
2019/08/27,18:30,72,81.0,9.0
2019/08/27,19:00,52,63.0,11.0
2019/08/27,19:30,43,44.0,1.0
2019/08/27,20:00,35,44.0,9.0
2019/08/27,20:30,40,44.0,4.0
2019/08/27,21:00,39,44.0,5.0
2019/08/27,21:30,31,33.0,2.0
2019/08/27,22:00,26,33.0,7.0
2019/08/27,22:30,22,28.0,6.0
2019/08/27,23:00,18,18.0,0.0
2019/08/27,23:30,0,0.0,0.0
2019/08/28,00:00,0,0.0,0.0
2019/08/28,00:30,0,0.0,0.0
2019/08/28,01:00,0,0.0,0.0
2019/08/28,01:30,0,0.0,0.0
2019/08/28,02:00,0,0.0,0.0
2019/08/28,02:30,0,0.0,0.0
2019/08/28,03:00,0,0.0,0.0
2019/08/28,03:30,0,0.0,0.0
2019/08/28,04:00,0,0.0,0.0
2019/08/28,04:30,0,0.0,0.0
2019/08/28,05:00,0,0.0,0.0
2019/08/28,05:30,0,0.0,0.0
2019/08/28,06:00,0,0.0,0.0
2019/08/28,06:30,0,0.0,0.0
2019/08/28,07:00,25,32.0,7.0
2019/08/28,07:30,42,65.0,23.0
2019/08/28,08:00,73,75.0,2.0
2019/08/28,08:30,111,116.0,5.0
2019/08/28,09:00,140,140.0,0.0
2019/08/28,09:30,155,183.0,28.0
2019/08/28,10:00,157,183.0,26.0
2019/08/28,10:30,160,183.0,23.0
2019/08/28,11:00,147,151.0,4.0
2019/08/28,11:30,126,128.0,2.0
2019/08/28,12:00,97,120.0,23.0
2019/08/28,12:30,88,131.0,43.0
2019/08/28,13:00,89,93.0,4.0
2019/08/28,13:30,96,133.0,37.0
2019/08/28,14:00,120,144.0,24.0
2019/08/28,14:30,128,155.0,27.0
2019/08/28,15:00,129,158.0,29.0
2019/08/28,15:30,128,136.0,8.0
2019/08/28,16:00,123,125.0,2.0
2019/08/28,16:30,113,115.0,2.0
2019/08/28,17:00,99,105.0,6.0
2019/08/28,17:30,91,97.0,6.0
2019/08/28,18:00,80,80.0,0.0
2019/08/28,18:30,68,77.0,9.0
2019/08/28,19:00,48,66.0,18.0
2019/08/28,19:30,41,49.0,8.0
2019/08/28,20:00,35,49.0,14.0
2019/08/28,20:30,39,39.0,0.0
2019/08/28,21:00,38,39.0,1.0
2019/08/28,21:30,33,39.0,6.0
2019/08/28,22:00,26,26.0,0.0
2019/08/28,22:30,23,26.0,3.0
2019/08/28,23:00,18,18.0,0.0
2019/08/28,23:30,0,0.0,0.0
2019/08/29,00:00,0,0.0,0.0
2019/08/29,00:30,0,0.0,0.0
2019/08/29,01:00,0,0.0,0.0
2019/08/29,01:30,0,0.0,0.0
2019/08/29,02:00,0,0.0,0.0
2019/08/29,02:30,0,0.0,0.0
2019/08/29,03:00,0,0.0,0.0
2019/08/29,03:30,0,0.0,0.0
2019/08/29,04:00,0,0.0,0.0
2019/08/29,04:30,0,0.0,0.0
2019/08/29,05:00,0,0.0,0.0
2019/08/29,05:30,0,0.0,0.0
