team_id,team,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
0,²úÏÕºôÈë01°à-SH,"29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","64, Îç°à, 510Min, 13:00-17:00 18:00-22:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","22, Ôç°à, 420Min, 07:30-11:00 12:30-16:00","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","42, Ìø°à, 540Min, 09:00-13:30 18:30-23:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","10, ³¿°à, 480Min, 08:30-12:00 13:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"39, Ìø°à, 540Min, 09:00-13:30 18:00-22:30","53, Îç°à, 480Min, 13:30-17:00 18:30-23:00",ÐÝÏ¢,"8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","87, °×°à, 480Min, 09:00-12:30 14:00-18:30","26, Ôç°à, 480Min, 07:30-11:30 12:30-16:30","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00","0, ³¿°à, 480Min, 08:00-11:30 12:30-17:00",ÐÝÏ¢,"82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","70, Îç°à, 540Min, 13:00-17:30 18:30-23:00",ÐÝÏ¢,"78, ÖÐ°à, 480Min, 11:30-16:00 17:00-20:30","92, °×°à, 480Min, 09:30-13:00 14:00-18:30"
1,²úÏÕºôÈë01°à-SZ,"58, Îç°à, 510Min, 13:30-17:30 19:00-23:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","24, Ôç°à, 420Min, 07:30-11:30 12:30-15:30",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","18, Ôç°à, 420Min, 07:00-11:00 12:30-15:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","91, °×°à, 510Min, 09:00-13:00 14:30-19:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","84, °×°à, 480Min, 09:30-13:00 15:00-19:30","29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","83, °×°à, 480Min, 09:30-13:00 14:30-19:00",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","54, Îç°à, 480Min, 13:30-17:00 19:00-23:30",ÐÝÏ¢,"33, Ìø°à, 480Min, 09:00-13:00 18:00-22:00","82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00",ÐÝÏ¢,"92, °×°à, 480Min, 09:30-13:00 14:00-18:30","29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30",ÐÝÏ¢
1,²úÏÕºôÈë01°à-SZ,"58, Îç°à, 510Min, 13:30-17:30 19:00-23:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","24, Ôç°à, 420Min, 07:30-11:30 12:30-15:30",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","18, Ôç°à, 420Min, 07:00-11:00 12:30-15:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","91, °×°à, 510Min, 09:00-13:00 14:30-19:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","84, °×°à, 480Min, 09:30-13:00 15:00-19:30","29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","83, °×°à, 480Min, 09:30-13:00 14:30-19:00",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","54, Îç°à, 480Min, 13:30-17:00 19:00-23:30",ÐÝÏ¢,"33, Ìø°à, 480Min, 09:00-13:00 18:00-22:00","82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00",ÐÝÏ¢,"92, °×°à, 480Min, 09:30-13:00 14:00-18:30","29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30",ÐÝÏ¢
1,²úÏÕºôÈë01°à-SZ,"58, Îç°à, 510Min, 13:30-17:30 19:00-23:30",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","24, Ôç°à, 420Min, 07:30-11:30 12:30-15:30",ÐÝÏ¢,"4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","18, Ôç°à, 420Min, 07:00-11:00 12:30-15:30",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","91, °×°à, 510Min, 09:00-13:00 14:30-19:00","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00",ÐÝÏ¢,"84, °×°à, 480Min, 09:30-13:00 15:00-19:30","4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00","84, °×°à, 480Min, 09:30-13:00 15:00-19:30","29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30","83, °×°à, 480Min, 09:30-13:00 14:30-19:00",ÐÝÏ¢,"15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","8, ³¿°à, 480Min, 08:00-12:30 14:00-17:30","15, Ôç°à, 420Min, 07:00-11:00 12:00-15:00","4, ³¿°à, 480Min, 08:00-12:00 13:30-17:30","54, Îç°à, 480Min, 13:30-17:00 19:00-23:30",ÐÝÏ¢,"33, Ìø°à, 480Min, 09:00-13:00 18:00-22:00","82, ÖÐ°à, 480Min, 12:00-17:00 18:00-21:00",ÐÝÏ¢,"92, °×°à, 480Min, 09:30-13:00 14:00-18:30","29, Ìø°à, 540Min, 09:00-13:00 16:30-21:30",ÐÝÏ¢
