,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-1.0,58.0,32.0,-1.0,84.0,70.0,-1.0,86.0,26.0,-1.0,42.0,84.0,-1.0,85.0,84.0,17.0,3.0,80.0,-1.0,26.0,85.0,17.0,60.0,-1.0,84.0,7.0,17.0,85.0,-1.0,17.0,58.0
1,78.0,39.0,84.0,-1.0,26.0,3.0,12.0,-1.0,84.0,42.0,26.0,-1.0,58.0,74.0,-1.0,26.0,0.0,-1.0,26.0,3.0,77.0,-1.0,7.0,84.0,91.0,3.0,-1.0,17.0,85.0,84.0,-1.0
2,84.0,58.0,-1.0,32.0,84.0,-1.0,82.0,84.0,58.0,-1.0,84.0,82.0,17.0,84.0,32.0,-1.0,26.0,84.0,5.0,58.0,-1.0,85.0,17.0,5.0,-1.0,42.0,78.0,-1.0,86.0,26.0,-1.0
3,58.0,84.0,-1.0,17.0,84.0,26.0,-1.0,3.0,3.0,-1.0,17.0,89.0,58.0,-1.0,29.0,26.0,-1.0,3.0,0.0,-1.0,82.0,9.0,0.0,-1.0,85.0,86.0,91.0,-1.0,85.0,17.0,0.0
4,0.0,26.0,85.0,9.0,29.0,-1.0,26.0,52.0,85.0,-1.0,0.0,7.0,82.0,26.0,-1.0,84.0,17.0,91.0,58.0,-1.0,29.0,58.0,-1.0,86.0,75.0,-1.0,0.0,0.0,39.0,-1.0,-1.0
5,42.0,17.0,-1.0,0.0,9.0,86.0,-1.0,7.0,3.0,85.0,17.0,-1.0,74.0,91.0,-1.0,17.0,58.0,-1.0,82.0,58.0,-1.0,37.0,75.0,-1.0,17.0,0.0,-1.0,12.0,91.0,29.0,17.0
6,26.0,3.0,5.0,-1.0,37.0,70.0,-1.0,5.0,42.0,-1.0,17.0,7.0,-1.0,75.0,58.0,17.0,-1.0,26.0,86.0,75.0,-1.0,17.0,85.0,0.0,-1.0,58.0,32.0,-1.0,0.0,85.0,0.0
7,5.0,75.0,-1.0,3.0,37.0,84.0,-1.0,17.0,85.0,58.0,-1.0,75.0,3.0,58.0,-1.0,58.0,29.0,-1.0,85.0,17.0,5.0,26.0,3.0,82.0,-1.0,58.0,84.0,-1.0,17.0,85.0,-1.0
8,78.0,17.0,-1.0,82.0,85.0,17.0,84.0,42.0,-1.0,76.0,3.0,70.0,-1.0,82.0,9.0,17.0,5.0,-1.0,9.0,91.0,-1.0,17.0,86.0,-1.0,17.0,84.0,39.0,-1.0,91.0,70.0,-1.0
9,7.0,91.0,58.0,84.0,-1.0,78.0,91.0,17.0,84.0,26.0,89.0,-1.0,82.0,0.0,-1.0,35.0,85.0,-1.0,75.0,17.0,-1.0,74.0,26.0,-1.0,85.0,32.0,-1.0,58.0,84.0,-1.0,26.0
