,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,54,85,-1,24,87,-1,75,50,90,-1,87,90,-1,84,15,-1,15,52,83,-1,10,59,42,-1,24,84,-1,10,42,15,-1
1,84,15,-1,91,59,-1,20,14,-1,15,84,-1,13,20,-1,27,59,-1,84,43,-1,87,84,28,-1,83,33,-1,85,15,-1
2,61,-1,91,84,-1,15,14,27,13,84,-1,84,15,-1,85,13,15,-1,59,24,-1,91,85,-1,36,27,-1,24,59,-1,33
3,-1,4,50,-1,84,87,-1,39,59,-1,59,2,-1,10,4,15,-1,84,15,-1,10,34,-1,27,59,27,-1,15,10,-1,50
4,50,59,-1,59,75,-1,24,92,-1,90,50,24,-1,10,39,15,-1,15,92,-1,84,15,84,42,59,-1,27,87,-1,15,84
5,24,2,-1,33,59,-1,84,15,-1,24,13,91,15,-1,2,85,-1,2,15,-1,24,84,-1,85,85,-1,49,24,-1,59,13
6,2,85,75,15,-1,87,24,14,-1,14,59,-1,44,15,-1,4,14,-1,59,15,-1,83,33,-1,84,14,-1,18,84,-1,85
7,14,-1,84,14,40,27,-1,84,59,33,-1,59,15,-1,84,42,15,-1,8,47,-1,2,14,84,-1,75,27,-1,15,91,2
8,78,44,-1,15,85,-1,18,4,44,-1,75,90,27,-1,59,27,-1,24,13,11,-1,78,75,-1,62,44,-1,86,87,34,15
9,8,24,85,90,-1,84,33,-1,27,85,-1,85,59,-1,36,91,-1,13,24,-1,90,15,59,-1,85,24,-1,14,59,90,-1
10,-1,2,33,-1,84,15,-1,2,15,-1,18,62,-1,43,15,-1,27,14,-1,84,24,2,-1,84,15,-1,90,59,84,-1,91
11,-1,84,15,-1,24,13,59,-1,33,84,-1,15,59,-1,24,84,24,-1,24,13,-1,30,18,-1,84,87,59,-1,14,14,-1
12,-1,36,27,-1,15,87,-1,84,85,-1,2,27,83,59,-1,85,14,59,43,-1,15,84,30,27,-1,87,15,84,-1,27,13
13,2,-1,84,59,-1,24,84,36,-1,15,14,-1,24,84,-1,84,91,-1,44,27,-1,13,18,-1,14,27,54,-1,27,84,-1
14,-1,84,24,-1,27,14,-1,14,78,-1,33,59,-1,24,59,-1,36,91,-1,90,15,59,-1,2,15,-1,83,24,-1,84,18
15,59,42,-1,2,15,59,-1,28,2,75,24,2,24,-1,59,75,-1,36,24,-1,2,15,14,-1,90,14,87,-1,43,77,-1
16,85,27,2,-1,13,84,-1,59,24,-1,85,36,-1,84,15,-1,91,24,-1,90,50,-1,27,90,50,-1,10,59,-1,85,59
17,14,59,-1,50,24,-1,87,15,-1,42,15,-1,15,59,-1,14,85,32,-1,24,84,-1,85,36,-1,84,84,-1,15,59,15
18,13,27,-1,75,15,-1,15,59,50,-1,18,2,-1,84,14,-1,15,85,-1,2,59,-1,59,83,-1,15,4,75,87,42,-1
19,85,84,-1,13,44,-1,14,90,13,59,-1,27,84,-1,2,24,-1,59,15,-1,15,2,-1,43,24,-1,14,84,-1,15,2
20,36,-1,24,85,2,-1,59,28,-1,59,90,-1,24,59,-1,33,27,-1,87,15,-1,33,27,-1,91,84,-1,44,27,-1,85
21,-1,15,84,-1,14,59,-1,15,91,2,-1,15,84,18,-1,84,33,24,-1,75,83,-1,15,84,84,15,-1,43,84,-1,59
22,24,13,-1,15,85,-1,59,33,-1,13,18,83,-1,87,24,-1,2,2,-1,15,90,27,-1,14,15,14,-1,84,30,-1,75
23,-1,91,59,-1,91,43,-1,84,2,-1,24,84,-1,84,14,15,59,-1,18,84,-1,27,84,59,-1,33,83,-1,15,14,-1
24,15,-1,15,84,-1,15,84,-1,15,84,-1,14,47,-1,91,59,-1,15,84,-1,59,13,-1,14,2,15,-1,18,91,43,84
25,91,-1,14,24,-1,49,18,-1,84,27,84,-1,86,15,84,-1,84,84,-1,59,43,-1,2,15,-1,59,15,-1,2,2,24
